study_id,table_index,row_index_in_table,author,year,country,theme,subtheme,objective,data,methodology,results_recommendations,cluster_id,taille_cluster,label_cluster,mots_cles_cluster
29,1,34,Taniguchi (2022),2022,"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,L'impact de l'enseignement du préscolaire sur les résultats des élèves défavorisés en lecture et en mathématiques en sixième année du primaire.,SACMEQ III,Régression linéaire,"Résultats Les résultats montrent que les enfants qui ont suivi un enseignement préscolaire obtiennent de meilleurs résultats que ceux qui n'en ont pas suivi. Les résultats des enfants qui disposent de nombreuses ressources d'apprentissage à la maison sont meilleurs que ceux des enfants qui ne disposent que de quelques ressources. Dans presque tous les pays, les résultats des enfants défavorisés sont meilleurs lorsqu'ils suivent un enseignement préscolaire. Ces résultats contribuent au débat sur l'importance de la protection et de l'éducation de la petite enfance, en particulier en Afrique subsaharienne. Recommandations Établir des critères nationaux pour évaluer les progrès des élèves ; former les enseignants à l'évaluation des progrès des élèves ; renforcer la prévention de l'absentéisme scolaire ; fournir des manuels scolaires et les utiliser efficacement ; réduire la taille des classes ; renforcer la formation des enseignants ; sensibiliser les écoles à l'inefficacité du redoublement.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
30,1,35,Smith et Barrett (2010),2010,"ASS, 6 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Déterminer les obstacles économiques, culturels et politiques empêchent les groupes défavorisés de convertir les ressources dont ils disposent pour l’apprentissage et la lecture.",SACMEQ II,Modèle hiérarchique linéaire à deux niveaux,"Résultats Les résultats indiquent que les différents facteurs liés au milieu, à la situation sociale et à la richesse économique des élèves, sont associés aux désavantages scolaires. Le fait de pouvoir étudier ou lire à la maison favorise l'apprentissage, mais les ressources spécifiques qui rendent cette réussite dépendent du contexte. Le fait de disposer d'une table n'a eu aucun effet sur la mesure de la capacité de lecture que pour la moitié des pays de l'étude. Le fait qu'un élève soit plus âgé que l'âge moyen de 13 ans et 10 mois du SACMEQ a eu un effet différentiel de quatre points et de trois points par an pour les deux groupes. Recommandations Les auteurs soulignent l'importance de comprendre les facteurs qui entravent l'acquisition de l'alphabétisation et de développer des politiques et des interventions appropriées pour soutenir les enfants dans leur apprentissage. Il est également suggéré que des recherches supplémentaires soient menées dans les domaines identifiés comme étant importants pour favoriser l'apprentissage de la lecture, tels que la disponibilité de ressources à domicile, l'utilisation de la langue d'enseignement à l'extérieur de l'école, la lutte contre la faim et la question des coûts financiers de l'éducation primaire.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
31,1,36,Crouch et al. (2021),2021,14 pays ASS,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Explorer les relations quantitatives entre les niveaux moyens d'acquis d'apprentissage dans les pays, l'évolution des niveaux moyens d'apprentissage, l'inégalité de la répartition des résultats.",TIMSS et SACMEQ III,Analyses statistiques,"Résultats La relation entre les améliorations des moyennes et les changements dans l'inégalité est forte et est sujette à des rendements décroissants (lorsque l'inégalité était déjà faible, il est plus difficile de la réduire encore plus) et était plus prévisible que les résultats obtenus par les autres pays. Recommandations Le document suggère que les planificateurs nationaux ou les agences telles que la Banque mondiale ou l'Institut de statistique de l'UNESCO calculent des indicateurs sur ""l'inégalité liée aux systèmes"".",9,3,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"cours, apprentissage, supplementaires, inegalites, particuliers, incidence"
32,1,37,"Mulera et al., (2017)",2017,Malawi,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Trouver les facteurs qui affectent la performance des élèves dans le cycle primaire.,"SACMEQ I, II et III",Modèle hiérarchique linéaire à trois niveaux,"Résultats La faible situation socio-économique des élèves, les taux d'encadrement élevés et le temps consacré par les chefs d'établissement à l'enseignement plutôt qu'à la gestion de l'école sont des facteurs plus significatifs qui affectent négativement les performances des élèves. L'étude révèle que dans certains districts, les élèves ont obtenu de bien meilleurs résultats que dans d'autres. Alors que dans la majorité des cas, les niveaux de réussite des élèves étaient étroitement associés aux niveaux d'intrants et de services, certains districts ne présentaient pas de corrélation positive avec les niveaux d'intrants et de services. Les districts ayant bénéficié d'un plus grand nombre d'inspections et de conseil avaient de meilleurs résultats scolaires que ceux qui avaient moins de de visites. Recommandations Il est nécessaire que les processus de formulation et de planification de la politique de l'éducation au Malawi recherchent des solutions plus proactives et plus urgentes qui permettraient de réduire le taux d'encadrement dans toutes les écoles, en particulier dans les écoles dont le taux d'encadrement est supérieur à la moyenne, en particulier dans celles dont le ratio élèves/enseignant est supérieur à la norme nationale, comme le stipule la politique et la planification de l'éducation.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
33,1,38,Kouakou et Yeo (2025),2025,"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Etudier les déterminants de la qualité de l’éducation de base dans 10 pays d’ASS.,PASEC 2014,Mmultiniveau par la méthode du maximum de vraisemblance,"Résultats 39,38 % des écarts de performances entre les élèves sont dus à la différence entre les écoles. Ces écarts de performance sont également expliqués par les caractéristiques individuelles des élèves et les différences entre pays à 33,33 % et 27,0 % respectivement. L’âge de l’élève, la possession d’un livre (lecture et mathématiques), l’alphabétisation des parents, l’aide de la mère, la répétition des classes antérieures, la pratique de la maternelle, et les travaux domestiques sont des facteurs pertinents dans l’explication des écarts de performance. En ce qui concerne le niveau école, plusieurs variables sont également pertinentes dans l’explication des écarts de performance entre les élèves, notamment la régularité du salaire des enseignants, l’organisation et l’équipement de la classe. Recommandations Renforcer et de promouvoir des programmes d’alphabétisation des adultes. Dans ces programmes, un accent particulier devra être accordé au milieu rural. Amélioration de l'Organisation de la Classe : Revoir l'organisation des classes pour remédier aux problèmes de sureffectif et d'organisation multigrade, qui sont considérés comme insatisfaisants.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
34,1,39,"Armand et al., (2024)",2024,Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Analyser les inégalités de possibilités d'éducation chez les élèves du primaire au Cameroun,"PASEC, 2014 et 2019",Décomposition paramétrique et non paramétrique,"Résultats Les résultats montrent que les circonstances représentent entre 46,3 % et 38,1 % pour la lecture de 2014 à 2019, tout en restant constantes à 40,1 % pour les mathématiques. La décomposition par source montre que contrairement à la littérature existante, les facteurs au niveau de l’école contribuent davantage à l’inégalité des chances dans les deux méthodes de décomposition que dans la formation des élèves dans le secteur de l’enseignement primaire au Cameroun. Recommandations Assurer une distribution équitable des ressources pédagogiques, telles que les manuels scolaires, entre les écoles, en particulier celles situées dans des zones moins favorisées. Renforcer les inspections scolaires pour garantir la présence des enseignants et améliorer la qualité de l'enseignement. Reduire le nombre d'élèves par classe pour permettre une attention plus individualisée et améliorer l'apprentissage.",14,3,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"mathematiques, francophones, determinants, inegalites, apprentissage, cameroun"
35,1,40,Sanfo (2023),2023,"ASS, 4 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Examine les facteurs qui expliquent les inégalités d'apprentissage au Bénin, au Burkina Faso, au Togo et au Cameroun, puis explore les similitudes entre les pays.",PASEC 2014,Fonction d'influence recentrée,"Résultats Il trouve que pour tous les pays, les facteurs tangibles et intangibles expliquent entre 51,10% et 48,9% de l'inégalité d'apprentissage en moyenne respectivement. La décomposition de la distribution révèle que les facteurs tangibles expliquent entre 41,50 % et 65,3 % de l'inégalité d'apprentissage. Dans l'ensemble des pays étudiés, l'écart s'explique davantage par des facteurs liés à l'école. Recommandations Tenir compte des installations scolaires et des ressources des écoles ou des salles de classe dans les zones rurales. Améliorer les capacités des enseignants et des directeurs d'école. Les décideurs politiques de prendre en compte les facteurs intangibles et de s'y concentrer davantage en fonction des groupes d'étudiants.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
36,1,41,Mugendawala et Muijs (2020),2020,Ouganda,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Analyser les facteurs de processus éducatifs qui influencent l'efficacité éducative dans les pays à ressources limitées, avec un focus sur l'Uganda.",SACMEQ III,Analyse multiniveau,"Résultats Les facteurs de processus tels que les opportunités d'apprentissage (OTL), les compétences en gestion scolaire et les relations école-communauté sont des prédicteurs significatifs des résultats en mathématiques et en lecture. Le capital académique et professionnel des enseignants (TAPC) influence les résultats d'apprentissage de manière médiée par les OTL. Recommandations Renforcer les compétences en gestion scolaire pour améliorer l'efficacité des écoles. Promouvoir des relations solides entre les écoles et les communautés pour soutenir l'apprentissage des élèves. Accorder plus d'attention aux processus éducatifs qui peuvent influencer positivement les résultats d'apprentissage, au-delà des simples investissements matériels.",11,1,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, processus, opportunites, facteurs, efficacite, otl"
37,1,42,Oduol (2006),2006,Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Analyser l'impact des facteurs contextuels en classe sur les scores des élèves en lecture et en mathématiques dans le sous-système éducatif primaire au Kenya, en utilisant les données de SACMEQ II.",SACMEQ II,Modélisation hiérarchique linéaire,"Résultats Les résultats indiquent que des facteurs tels que l'âge, le sexe, et les possessions à domicile influencent significativement les performances des élèves en lecture et en mathématiques. Pratiques des enseignants : La correction des devoirs et la pratique de donner des devoirs ont un effet positif sur les scores des élèves. En revanche, l'expérience et le sexe des enseignants n'ont pas montré d'effet direct significatif. Recommandations Adoption de politiques basées sur des données probantes : Il est recommandé que le ministère de l'Éducation du Kenya utilise des données de recherche pour orienter la prise de décision et améliorer la gestion des écoles.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
38,1,43,"Lee et al., (2005)",2005,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Identifier les caractéristiques des écoles liées à l'efficacité de l'éducation dans 14 pays d'Afrique subsaharienne.,SACMEQ II,Modèle hiérarchique linéaire,"Résultats Les effets de l'école varient d'un pays à l'autre. Les résultats sont généralement moins bons dans les grandes écoles et dans celles qui proposent un enseignement par ""vacations"" Les ressources (physiques et humaines) des écoles ne sont pas systématiquement liées aux résultats dans tous les pays du SACMEQ. Recommandations Les écoles doivent trouver de meilleurs moyens de servir leurs élèves peu performants que de leur demander de répéter les mêmes expériences éducatives que celles qu'ils ont vécues.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
39,1,44,"Kanyongo, et al., (2006)",2006,Zimbabwe,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Examiner la relation entre les facteurs de l'environnement familial et la réussite en lecture des élèves de au Zimbabwe.,SACMEQ 1,Régression Linéaire,"Résultats Le SES s'avère être le meilleur prédicteur de la réussite en lecture, soulignant l'importance des ressources matérielles à la maison. Des facteurs tels que le soutien parental et la disponibilité des ressources éducatives à domicile sont positivement associés aux résultats en lecture. Les élèves vivant en dehors du domicile familial obtiennent des résultats plus faibles en lecture, ce qui souligne l'importance du soutien parental. Recommandations Les décideurs devraient se concentrer sur l'amélioration des ressources éducatives à domicile et du soutien parental pour améliorer les performances des élèves. Encourager des études sur l'impact des variables contextuelles sur les résultats scolaires dans d'autres pays africains. Créer des outils d'évaluation adaptés aux contextes africains pour mieux comprendre les dynamiques de l'environnement familial sur la réussite éducative.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
40,1,45,Nguemkap et Dieng (2022),2022,Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Trouver les facteurs déterminants de la qualité de l’éducation en fin de cycle primaire au Cameroun.,PASEC 2014,Modèle hiérarchique linéaire à deux niveaux,"Résultats 37,07% de la variance totale de la performance des élèves en lecture et 37,68% en mathématiques se situent au niveau de l'élève. 62,92% de la variance totale des performances des élèves en lecture et 62,31% en mathématiques se situent au niveau de l'école. Le niveau socio-économique de la famille de l'élève, la langue parlée à la maison, la taille de l'école, le genre des enseignants et la nature juridique de l'école expliquent de manière significative la réussite scolaire des élèves. Recommandations Généraliser les espaces collectifs spécifiques (bibliothèques, salles d'études...) au sein des écoles et de les équiper en biens scolaires. Mettre en place des mesures d'accompagnement des élèves en grande",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
41,1,46,Medu et Rowlands (2022),2022,Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Les déterminants de la réussite scolaire des élèves en mathématiques en fin de cycle primaire au Cameroun.,PASEC 2014,Moindres carrés ordinaires,"Résultats Les facteurs scolaires et familiaux jouent un rôle dans la dans la réussite des élèves en mathématiques. Les scores de mathématiques sont plus élevés chez les garçons, les élèves qui ne redoublent pas, les élèves urbains, lorsque les enseignants ont de meilleures ressources, et lorsque les élèves sont issus de familles aisées dont les parents savent lire. Les analyses de sous-échantillons et d'un échantillon élargi (avec des effets d'interaction) corroborent généralement les résultats de l'étude, mais révèlent aussi des différences, notamment entre les systèmes scolaires francophones et anglophones. Enfin, les résultats indiquent que le programme de maternelle n'est pas systématiquement associé à de meilleurs résultats aux tests de mathématiques. Recommandations Les futures recherches devraient enquêter sur les effets néfastes de la fréquentation de la maternelle dans le système anglophone. Mettre en place des politiques pour soutenir les performances des filles en mathématiques. Examiner les sources de l'avantage des garçons francophones.",14,3,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"mathematiques, francophones, determinants, inegalites, apprentissage, cameroun"
42,1,47,"Lee et al., (2021)",2021,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Examine empiriquement l'effet du travail des enfants sur la réussite scolaire.,PASEC 2014,Moindres carrées en deux étapes.,"Résultats Le travail des enfants compromet la réussite scolaire, quels que soient la matière, le sexe et l'âge. Il abaisse les scores en lecture et en mathématiques pour les deux sexes et pour les enfants de moins de 12 ans et de plus de 13 ans. Recommandations Améliorer les lois et les institutions qui interdisent le travail des enfants. Concevoir un mécanisme d'incitation économique qui puisse réduire le travail des enfants. Lorsque des aides à l'éducation sont mises en place dans les pays à faible revenu, les organisations d'aide devraient envisager la mise sur pied d’un système qui peut conduire au refus volontaire du travail des enfants à la fois à l'école et niveaux familiaux.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
43,1,48,Lassibille et Tan (2003),2003,Madagascar,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Examiner les progrès de l'éducation primaire à Madagascar entre le public et le privé.,PASEC 1998,MCO (moindre carrées ordinaires),"Résultats Les écoles privées sont généralement plus efficaces que les écoles publiques. Seulement 33% des élèves de première année atteignent finalement la fin du cycle primaire de 5 ans actuellement (28% dans les écoles publiques contre 53% dans le secteur privé). De plus, le taux de redoublement est très élevé, avec une moyenne de 31% en 1998 (34% dans les écoles publiques contre 19% dans le secteur privé).",19,1,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"prive, publiques, contre, secteur, contextes, specifiques"
44,1,49,Nguemkap (2023),2023,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Trouver les facteurs micro parmi les caractéristiques de l’élève, la classe, l’enseignant et l’école, ceux qui expliquent les inégalités d’acquisitions scolaires public privé en fin de cycle primaire.",PASEC 2019,Oaxaca-Blinder et décomposition Juhn Murphy et Pierce,"Résultats Les variables genre de l’élève, l’âge et le genre du maître et le nombre d’inspections contribuent à diminuer les inégalités entre les deux groupes tandis que les variables langue parlée à la maison, avoir fait la maternelle, le niveau socioéconomique de la famille de l’élève, l’âge de l’élève, la localisation et les infrastructures de l’école contribuent à entretenir les inégalités. Recommandations (i) d’encourager les promoteurs de l’enseignement privé à davantage ouvrir des écoles privées dans des zones rurales en mettant des facilités administratives et financières en œuvre ; (ii) améliorer les dotations en capital humain et physiques des écoles publiques car la réussite des élèves y est fortement dépendante ; (iii) et de renforcer la sensibilisation des parents qui scolarisent leurs filles dans le public sur l’importance de l’éducation de la fille ; (iv) les parents qui scolarisent les enfants dans le public doivent davantage investir dans l’éducation des enfants ceci en construisant un environnement favorable à l’apprentissage à la maison.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
45,1,50,Kadio (2025),2025,"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Examine the main determinants of learning quality by analyzing students’ cognitive skills in Sub-Saharan Africa,PASEC 2014,Modélisation hiérchique linéaire,"Résultats Les antécédents socio-économiques des élèves et les ressources scolaires ont un impact significatif sur leurs réalisations académiques, variant selon le type d'école. L'expérience, la formation initiale et les méthodes d'enseignement efficaces influencent positivement la qualité de l'apprentissage. L'étude révèle des disparités de genre persistantes, avec des effets disproportionnés sur les enfants. Recommandations Les politiques éducatives devraient se concentrer sur l'amélioration des qualifications des enseignants et l'allocation des ressources pour réduire les inégalités.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
46,1,51,"Ongo et al., (2022)",2022,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Examine les sources de variations des acquisitions scolaires de lecture et de mathématiques en fin de cycle primaire,PASEC 2019,Modèle hiérarchique linéaire à deux niveaux,"Résultats Les caractéristiques de l’élève et de sa famille restent l’explication dominante des différences de performances en lecture comme en mathématiques. La langue parlée à la maison, aimer la lecture, le préscolaire, le niveau socioéconomique de la famille de l’élève, la nature juridique de l’école, le nombre d’enseignant et l’indice d’aménagement du territoire influencent positivement les scores de lecture et de mathématiques dans le primaire. Recommandations généraliser les espaces collectifs spécifiques (bibliothèques, salles d’études…) au sein des établissements scolaires et de les équiper en biens et matériaux scolaires, porter une attention particulière aux écoles du milieu rural (équipement des écoles en matériel pédagogique, conditions de vie des enseignants et internat, cantines scolaires…) et publiques. Stimuler l’intérêt des filles pour les mathématiques. Mettre en place des mesures d’accompagnement d’élèves en grande difficulté.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
47,1,52,Kadio (2022),2022,"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Les déterminants de la réussite scolaire et des sources d’inégalités en Afrique subsaharienne.,PASEC 2014,Modèle hiérarchique linéaire à deux niveaux,"Résultats Au niveau des élèves, les résultats montrent l'influence négative de l'éducation des parents, du genre et des effets de pairs liés au statut socio-économique sur les performances des élèves. Les différences de statut socio-économique ont conduit à des préférences scolaires des parents, ce qui amplifie la segmentation sociale au sein des écoles et des classes. Les inégalités d'apprentissage sont principalement expliquées par les différences dans les caractéristiques des écoles. Recommandations Repenser la distribution des ressources au sein du secteur public, ce qui implique de nouvelles politiques fiscales. L'utilisation efficace des ressources d'enseignement déjà disponibles",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
48,1,53,Bekkouche et Dupraz (2023),2023,Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Questionne l’effet de l’origine coloniale sur qualité de l’éducation dans le cycle primaire au Cameroun.,PASEC 2005,Une analyse de discontinuité spatiale,"Résultats Les élèves scolarisés dans le système francophone obtiennent de meilleurs résultats en mathématiques en cinquième année, avec des scores supérieurs de deux tiers d'un écart-type. Les écoles francophones disposent d'un meilleur équipement des salles de classe et que les enseignants francophones utilisent davantage les méthodes d'enseignement verticales mais que ces différences n'expliquent pas pourquoi les élèves francophones obtiennent de meilleurs résultats en mathématiques. Recommandations Examiner les pratiques d'enseignement dans les systèmes éducatifs francophone et anglophone. Évaluer l'adéquation du curriculum dans les deux systèmes éducatifs. Renforcer les ressources et l'équipement scolaire dans les écoles. Approfondir la recherche sur les résultats à long terme des élèves.",14,3,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"mathematiques, francophones, determinants, inegalites, apprentissage, cameroun"
49,1,54,Michelowa (2001),2001,"ASS, 5 pays Burkina Faso, Cameroun, Côte d'Ivoire, Madagascar, Sénégal.","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Déterminer les moyens les plus efficaces pour assurer les compétences de base à un grand nombre d'enfants ?,PASEC 1995,Un modèle linéaire hiérarchique (HLM) à deux niveaux,"Résultats La taille des classes n'a pas d'impact négatif sur les résultats des élèves ; les dépenses par élève ont un effet positif sur les résultats. Les salaires des enseignants est un facteur important pour expliquer les différents niveaux d'efficacité des dépenses d'éducation entre les pays. Recommandations La fourniture de manuels scolaires et l'emploi d'un plus grand nombre d'enseignants sur la base de contrats flexibles de non-fonctionnaires, devraient constituer une priorité évidente pour tous les pays et toutes les écoles, d'autres mesures nécessitent un examen approfondi du contexte national, voire local, dans lequel elles seraient mises en œuvre.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
50,1,55,Taniguchi (2024),2024,"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Analyser la relation entre l'éducation préprimaire et la réussite en lecture et en mathématiques des élèves de sixième, en se concentrant sur les enfants défavorisés dans les pays participants au projet SACMEQ III.",SACMEQ III,Modèle linéaire,"Résultats Les enfants ayant fréquenté une école préprimaire obtiennent de meilleurs résultats que ceux qui n'y ont pas assisté. Les enfants disposant de nombreuses ressources à domicile pour l'apprentissage réussissent mieux que ceux ayant peu de ressources. L'effet de l'éducation préprimaire sur l'atténuation des inégalités sociales varie selon les contextes des différents pays. Recommandations Les résultats soulignent la nécessité de promouvoir les soins et l'éducation de la petite enfance, en particulier en Afrique subsaharienne, pour améliorer les chances de réussite des enfants défavorisés.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
51,2,2,"Miningou et al., (2019)",2019,ASS 10 pays,Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,Apprécier la capacité des écoles primaires à utiliser les ressources mises à leur disposition de façon efficiente pour promouvoir l’apprentissage.,PASEC 2014,DEA,"Résultats L'efficience moyenne de l'école est de 1,25 (ou 80%), montrant que les résultats d'apprentissage pourraient être 25% plus élevés si toutes les écoles étaient relativement efficaces. Dans l'ensemble, l'efficacité est principalement influencée par des facteurs liés à l'offre, montrant qu'il y a de la place pour améliorer l'efficacité grâce à des politiques ciblées liées aux écoles. L'augmentation des niveaux d'efficacité des écoles à faible rendement qui reçoivent déjà un financement adéquat pourrait entraîner une amélioration des résultats d'apprentissage des élèves. Recommandations Résoudre les inefficacités dans l'utilisation des ressources scolaires, d'améliorer la politique d'affectation des enseignants, accroître l'efficacité de l'utilisation des ressources, se concentrer sur les écoles les moins efficaces et d'adapter les politiques aux niveaux d'inefficacité et de performance des écoles.",4,4,Efficience et efficacité des systèmes éducatifs,"efficience, efficacite, ressources, apprentissage, politiques, etablissements"
52,2,3,"Avom et al., (2021)",2021,"ASS, 10 pays",Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,Examiner empiriquement l’effet de la décentralisation éducative sur l’efficience technique des écoles primaires en Afrique subsaharienne (ASS),PASEC 2014,DEA et Tobit,"Résultats L’efficience technique moyenne des écoles considérées se situe autour de 68,9 %, et seulement 119 écoles produisent à partir d’un panier d’input optimal, subodorant, toutes choses égales par ailleurs, un gaspillage d’environ 31,1 % des ressources mises à leur disposition. La décentralisation éducative approximée par l’implication de la communauté réduit significativement cette efficience, avec toutefois des effets différentiés en amplitudes selon la localité et le type d’école. Recommandations : L’amélioration des compétences managériales des responsables d’écoles et des acteurs non professionnels de l’éducation qui participent à la gestion et l’administration de l’école. Deuxièmement, le renforcement des dotations financières communales en les orientant davantage vers les dépenses en éducation pour que celles-ci soient aussi favorables aux enseignants. Troisièmement, repenser les politiques de distribution des infrastructures d’écoles en prenant en considération les spécificités des localités et des types d’écoles, et la densité des élèves dans les zones urbaines et rurales. Quatrièmement, élaborer une législation de réglementation sur la participation financière des acteurs locaux dans l’éducation de base pour réduire les inégalités entre les écoles en termes de ressources.",4,4,Efficience et efficacité des systèmes éducatifs,"efficience, efficacite, ressources, apprentissage, politiques, etablissements"
53,2,4,Figueiredo et Dieng (2016),2016,ASS 12 pays,Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,"Étudier l’efficience des établissements scolaires situés dans 12 pays de l’Afrique australe et orientale, puis d’analyser la portée du nombre d’inspections effectuées dans ces établissements, l’isolement de ces derniers, sur leur efficience scolaire.",SACMEQ 2007,Ordre m et Double Bootstrap,"Résultats : 8.16 % des établissements scolaires étaient efficients en 2007, ce qui représente 229 établissements sur 2 522. La localisation des écoles est particulièrement importante dans l’explication de l’efficience scolaire. Recommandations : Des politiques telles que la décentralisation des structures éducatives, la bonne utilisation des ressources allouées à l’éducation, la promotion des langues locales dominantes, etc. semblent pouvoir s’appliquer dans la plupart des pays d’Afrique australe et orientale, Les organisations internationales ainsi que les gouvernements devraient encourager des politiques sectorielles adaptées à chaque pays.",4,4,Efficience et efficacité des systèmes éducatifs,"efficience, efficacite, ressources, apprentissage, politiques, etablissements"
